City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Zhigansk,RU,66.7697,123.3711,10.27,81,100,8.79,overcast clouds
80,Ankang,CN,32.68,109.0172,61.0,15,100,11.01,overcast clouds
81,Hasaki,JP,35.7333,140.8333,64.0,63,20,10.36,few clouds
82,Macusani,PE,-14.0833,-70.4333,39.02,92,95,5.68,overcast clouds
83,Ust-Nera,RU,64.5667,143.2,8.1,92,81,3.91,broken clouds
84,Charters Towers,AU,-20.1,146.2667,77.61,51,0,19.48,clear sky
85,Placido De Castro,BR,-10.3353,-67.1856,74.05,97,99,2.33,overcast clouds
86,Colac,AU,-38.3333,143.5833,71.01,59,25,5.1,scattered clouds
87,Veraval,IN,20.9,70.3667,77.29,83,17,10.56,few clouds
88,Yerbogachen,RU,61.2767,108.0108,8.01,91,100,7.58,light snow
89,Georgetown,MY,5.4112,100.3354,80.6,89,20,1.14,few clouds
90,East London,ZA,-33.0153,27.9116,66.43,80,74,8.19,broken clouds
91,Komsomolskiy,UZ,40.4272,71.7189,42.8,70,40,4.61,scattered clouds
92,Zhangjiakou,CN,40.81,114.8794,51.6,43,100,8.88,overcast clouds
93,Castro,BR,-24.7911,-50.0119,56.01,73,0,2.84,clear sky
94,Albany,US,42.6001,-73.9662,57.0,95,100,1.01,overcast clouds
95,Bredasdorp,ZA,-34.5322,20.0403,60.8,82,99,3.44,light rain
96,Meulaboh,ID,4.1363,96.1285,74.48,89,100,5.84,overcast clouds
97,Sainte-Rose,GP,16.3324,-61.6979,73.4,88,75,3.44,broken clouds
98,Bendigo,AU,-36.7667,144.2833,77.0,49,20,2.64,few clouds
99,Vestmannaeyjar,IS,63.4427,-20.2734,41.97,82,90,17.96,overcast clouds
100,Ostrovnoy,RU,68.0531,39.5131,31.37,96,100,5.99,overcast clouds
101,Rawson,AR,-43.3002,-65.1023,58.69,90,100,17.63,overcast clouds
102,Bubaque,GW,11.2833,-15.8333,76.71,69,12,19.69,few clouds
103,Visby,SE,57.6409,18.296,37.99,100,90,11.5,moderate rain
104,Saint George,US,37.1041,-113.5841,72.0,8,1,4.61,clear sky
105,San Jose,US,37.3394,-121.895,84.0,17,1,11.5,clear sky
106,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.75,88,57,6.93,heavy intensity rain
107,San Carlos De Bariloche,AR,-41.1456,-71.3082,62.6,55,75,16.11,broken clouds
108,Upernavik,GL,72.7868,-56.1549,1.15,71,100,6.98,overcast clouds
109,Saskylakh,RU,71.9167,114.0833,-28.5,99,100,6.82,overcast clouds
110,Kruisfontein,ZA,-34.0033,24.7314,64.99,73,75,1.99,broken clouds
111,Ribeira Brava,PT,32.65,-17.0667,57.99,78,16,5.99,few clouds
112,Xiaoweizhai,CN,26.1903,107.5125,66.25,91,12,2.64,few clouds
113,Mackenzie,CA,55.2999,-123.1698,39.2,52,90,9.22,overcast clouds
114,Khandbari,NP,27.3747,87.2039,60.76,70,51,4.41,broken clouds
